location_id,location,latitude,longitude
3305,KEBUMEN,-7.63917,109.66056
3506,KEDIRI,-7.83333,112.16667
9420,KEEROM,-3.3,140.61667
3324,KENDAL,-7.0256,110.1685
1708,KEPAHIANG,-3.60194,102.56424
2105,KEPULAUAN ANAMBAS,3,106
8105,KEPULAUAN ARU,-6.17059,134.46991
1301,KEPULAUAN MENTAWAI,1.98917,99.51889
1410,KEPULAUAN MERANTI,0.97488,102.69539
7103,KEPULAUAN SANGIHE,3.5,125.55
7301,KEPULAUAN SELAYAR,-6.81667,120.8
7108,KEPULAUAN SIAU TAGULANDANG BIARO,2.11728,125.37512
8203,KEPULAUAN SULA,-1.8646,125.69046
7104,KEPULAUAN TALAUD,4.31178,126.78085
9408,KEPULAUAN YAPEN,-1.78773,136.27716
1501,KERINCI,-2.03333,101.53333
6106,KETAPANG,-1.58333,110.5
3310,KLATEN,-7.68333,110.61667
5105,KLUNGKUNG,-8.55,115.4
7404,KOLAKA,-4.08333,121.66667
7411,KOLAKA TIMUR,-4.01807,121.86172
7408,KOLAKA UTARA,-3.10452,121.12427
7403,KONAWE,-3.91717,122.08823
7412,KONAWE KEPULAUAN,-4.11656,123.10181
7405,KONAWE SELATAN,-4.19191,122.44854
7410,KONAWE UTARA,-3.41552,121.99081
3174,KOTA ADMINISTRASI JAKARTA BARAT,-6.1676,106.7673
3173,KOTA ADMINISTRASI JAKARTA PUSAT,-6.1777,106.8403
3171,KOTA ADMINISTRASI JAKARTA SELATAN,-6.266,106.8135
3172,KOTA ADMINISTRASI JAKARTA TIMUR,-6.2521,106.884
3175,KOTA ADMINISTRASI JAKARTA UTARA,-6.1339,106.8823
8171,KOTA AMBON,-3.7,128.18333
6471,KOTA BALIKPAPAN,-1.16667,116.88333
1171,KOTA BANDA ACEH,5.54167,95.33333
1871,KOTA BANDAR LAMPUNG,-5.41667,105.25
3273,KOTA BANDUNG,-6.9175,107.62444
3279,KOTA BANJAR,-7.36996,108.53209
6372,KOTA BANJARBARU,-3.41667,114.83333
6371,KOTA BANJARMASIN,-3.32444,114.59102
6302,KOTA BARU,-3,116
6302,KOTA BARU,-3,116
2171,KOTA BATAM,1.05211,104.02851
3579,KOTA BATU,-7.83272,112.53751
7472,KOTA BAU BAU,-5.477,122.6166
3275,KOTA BEKASI,-6.28333,106.98333
1771,KOTA BENGKULU,-3.81667,102.31667
5272,KOTA BIMA,-8.46728,118.75259
1276,KOTA BINJAI,3.8,108.23333
7172,KOTA BITUNG,1.48333,125.15
3572,KOTA BLITAR,-8.1,112.16667
3271,KOTA BOGOR,-6.59167,106.8
6474,KOTA BONTANG,0.12526,117.49603
1375,KOTA BUKITTINGGI,-0.275,100.375
3672,KOTA CILEGON,-6.01667,106.01667
3277,KOTA CIMAHI,-6.89167,107.55
3274,KOTA CIREBON,-6.75,108.55
5171,KOTA DENPASAR,-8.66667,115.21663
3276,KOTA DEPOK,-6.4,106.81667
1473,KOTA DUMAI,1.61592,101.4917
7571,KOTA GORONTALO,0.53333,123.1
1278,KOTA GUNUNGSITOLI,1.32731,97.55018
1571,KOTA JAMBI,-1.61667,103.65
9471,KOTA JAYAPURA,-2.64647,140.77779
3571,KOTA KEDIRI,-7.83333,112.01667
7471,KOTA KENDARI,-3.98333,122.5
7174,KOTA KOTAMOBAGU,0.68915,124.32678
5371,KOTA KUPANG,-10.21667,123.6
1173,KOTA LANGSA,4.47,97.93
1174,KOTA LHOKSEUMAWE,5.13333,97.06667
1674,KOTA LUBUK LINGGAU,-3.29308,102.85503
3577,KOTA MADIUN,-7.63333,111.53333
3371,KOTA MAGELANG,-7.5,110.225
7371,KOTA MAKASSAR,-5.15,119.45
3573,KOTA MALANG,-7.975,112.63333
7171,KOTA MANADO,1.51667,124.88333
5271,KOTA MATARAM,-8.5833,116.1167
1275,KOTA MEDAN,3.65,98.66667
1872,KOTA METRO,-5.11856,105.29949
3576,KOTA MOJOKERTO,-7.46667,112.43333
1371,KOTA PADANG,-0.98333,100.45
1374,KOTA PADANG PANJANG,-0.45,100.43333
1277,KOTA PADANG SIDEMPUAN,1.37375,99.26843
1673,KOTA PAGAR ALAM,-4.13055,103.26822
6271,KOTA PALANGKARAYA,-1.76979,113.73126
1671,KOTA PALEMBANG,-3,104.71667
7373,KOTA PALOPO,-2.97841,120.11078
7271,KOTA PALU,-0.86972,119.9
1971,KOTA PANGKAL PINANG,-2.13333,106.13333
7372,KOTA PARE PARE,-4.03333,119.65
1377,KOTA PARIAMAN,-0.62682,100.12047
3575,KOTA PASURUAN,-7.65,112.9
1376,KOTA PAYAKUMBUH,-0.23333,100.63333
3375,KOTA PEKALONGAN,-6.9,109.68333
1471,KOTA PEKANBARU,0.53333,101.46667
1273,KOTA PEMATANG SIANTAR,2.96667,99.05
6171,KOTA PONTIANAK,-0.08333,109.36667
1672,KOTA PRABUMULIH,-3.46202,104.2229
3574,KOTA PROBOLINGGO,-7.78333,113.21667
1172,KOTA SABANG,5.82164,95.31086
3373,KOTA SALATIGA,-7.33278,110.48333
6472,KOTA SAMARINDA,-0.43333,117.18333
1373,KOTA SAWAH LUNTO,-0.6,100.75
3374,KOTA SEMARANG,-7.03333,110.38333
3673,KOTA SERANG,-6.12563,106.14999
1271,KOTA SIBOLGA,1.73333,98.8
6172,KOTA SINGKAWANG,0.90734,109.00103
1372,KOTA SOLOK,-0.76667,100.61667
9171,KOTA SORONG,-0.86507,131.25153
1175,KOTA SUBULUSSALAM,2.75,97.93333
3272,KOTA SUKABUMI,-6.95,106.93333
1572,KOTA SUNGAI PENUH,-2.10896,101.32175
3578,KOTA SURABAYA,-7.26667,112.71667
3372,KOTA SURAKARTA,-7.55,110.81667
3671,KOTA TANGERANG,-6.17944,106.62991
3674,KOTA TANGERANG SELATAN,-6.29373,106.71244
